team,attendance,season,opponent,arena,city,state,game_type,team_abb,opponent_abb
Atlanta Dream,4136,2019,Washington Mystics,State Farm Arena,Atlanta,GA,Regular season,ATL,WAS
Phoenix Mercury,10132,2019,Los Angeles Sparks,Talking Stick Resort Arena,Phoenix,AZ,Regular season,PHO,LAS
Chicago Sky,5607,2019,Connecticut Sun,Wintrust Arena,Chicago,IL,Regular season,CHI,CON
Seattle Storm,7211,2019,Indiana Fever,Alaska Airlines Arena,Seattle,WA,Regular season,SEA,IND
Indiana Fever,4692,2019,Minnesota Lynx,Bankers Life Fieldhouse,Indianapolis,IN,Regular season,IND,MIN
Las Vegas Aces,4215,2019,Seattle Storm,Mandalay Bay Events Center,Las Vegas,NV,Regular season,LVA,SEA
Chicago Sky,8914,2019,Washington Mystics,Wintrust Arena,Chicago,IL,Regular season,CHI,WAS
Dallas Wings,4017,2019,Connecticut Sun,College Park Center,Arlington,TX,Regular season,DAL,CON
Los Angeles Sparks,10295,2019,Las Vegas Aces,Staples Center,Los Angeles,CA,Regular season,LAS,LVA
New York Liberty,2191,2019,Dallas Wings,Westchester County Center,White Plains,NY,Regular season,NYL,DAL
Phoenix Mercury,9435,2019,Indiana Fever,Talking Stick Resort Arena,Phoenix,AZ,Regular season,PHO,IND
Seattle Storm,7915,2019,Chicago Sky,Alaska Airlines Arena,Seattle,WA,Regular season,SEA,CHI
Washington Mystics,4200,2019,Connecticut Sun,Entertainment and Sports Arena,Washington,DC,Regular season,WAS,CON
Las Vegas Aces,4581,2019,Indiana Fever,Mandalay Bay Events Center,Las Vegas,NV,Regular season,LVA,IND
Atlanta Dream,4359,2019,New York Liberty,State Farm Arena,Atlanta,GA,Regular season,ATL,NYL
Dallas Wings,4521,2019,Minnesota Lynx,College Park Center,Arlington,TX,Regular season,DAL,MIN
Los Angeles Sparks,11067,2019,Chicago Sky,Staples Center,Los Angeles,CA,Regular season,LAS,CHI
Seattle Storm,8002,2019,Phoenix Mercury,Alaska Airlines Arena,Seattle,WA,Regular season,SEA,PHO
Las Vegas Aces,3516,2019,Chicago Sky,Mandalay Bay Events Center,Las Vegas,NV,Regular season,LVA,CHI
Minnesota Lynx,8208,2019,Atlanta Dream,Target Center,Minneapolis,MN,Regular season,MIN,ATL
Seattle Storm,8710,2019,New York Liberty,Alaska Airlines Arena,Seattle,WA,Regular season,SEA,NYL
Dallas Wings,5093,2019,Indiana Fever,College Park Center,Arlington,TX,Regular season,DAL,IND
Seattle Storm,8111,2019,Atlanta Dream,Alaska Airlines Arena,Seattle,WA,Regular season,SEA,ATL
Phoenix Mercury,9560,2019,New York Liberty,Talking Stick Resort Arena,Phoenix,AZ,Regular season,PHO,NYL
Connecticut Sun,8076,2019,Minnesota Lynx,Mohegan Sun Arena,Uncasville,CT,Regular season,CON,MIN
New York Liberty,1971,2019,Las Vegas Aces,Westchester County Center,White Plains,NY,Regular season,NYL,LVA
Los Angeles Sparks,10336,2019,Washington Mystics,Staples Center,Los Angeles,CA,Regular season,LAS,WAS
Chicago Sky,6102,2019,Dallas Wings,Wintrust Arena,Chicago,IL,Regular season,CHI,DAL
Phoenix Mercury,9850,2019,Atlanta Dream,Talking Stick Resort Arena,Phoenix,AZ,Regular season,PHO,ATL
Dallas Wings,6885,2019,Los Angeles Sparks,College Park Center,Arlington,TX,Regular season,DAL,LAS
Atlanta Dream,3866,2019,Connecticut Sun,State Farm Arena,Atlanta,GA,Regular season,ATL,CON
Washington Mystics,15377,2019,Phoenix Mercury,Capital One Arena,Washington,DC,Regular season,WAS,PHO
Indiana Fever,9247,2019,Las Vegas Aces,Bankers Life Fieldhouse,Indianapolis,IN,Regular season,IND,LVA
Chicago Sky,8508,2019,Minnesota Lynx,Wintrust Arena,Chicago,IL,Regular season,CHI,MIN
Indiana Fever,7849,2019,Los Angeles Sparks,Bankers Life Fieldhouse,Indianapolis,IN,Regular season,IND,LAS
Atlanta Dream,4001,2019,Minnesota Lynx,State Farm Arena,Atlanta,GA,Regular season,ATL,MIN
Chicago Sky,7221,2019,New York Liberty,Wintrust Arena,Chicago,IL,Regular season,CHI,NYL
Connecticut Sun,6864,2019,Phoenix Mercury,Mohegan Sun Arena,Uncasville,CT,Regular season,CON,PHO
Seattle Storm,6451,2019,Dallas Wings,Alaska Airlines Arena,Seattle,WA,Regular season,SEA,DAL
Washington Mystics,4200,2019,Las Vegas Aces,Entertainment and Sports Arena,Washington,DC,Regular season,WAS,LVA
Atlanta Dream,5083,2019,Los Angeles Sparks,State Farm Arena,Atlanta,GA,Regular season,ATL,LAS
Indiana Fever,6434,2019,Connecticut Sun,Bankers Life Fieldhouse,Indianapolis,IN,Regular season,IND,CON
Dallas Wings,4261,2019,Chicago Sky,College Park Center,Arlington,TX,Regular season,DAL,CHI
Seattle Storm,6733,2019,New York Liberty,Alaska Airlines Arena,Seattle,WA,Regular season,SEA,NYL
Minnesota Lynx,8801,2019,Phoenix Mercury,Target Center,Minneapolis,MN,Regular season,MIN,PHO
Chicago Sky,10143,2019,Atlanta Dream,Wintrust Arena,Chicago,IL,Regular season,CHI,ATL
Phoenix Mercury,10143,2019,Dallas Wings,Talking Stick Resort Arena,Phoenix,AZ,Regular season,PHO,DAL
Minnesota Lynx,8403,2019,Seattle Storm,Target Center,Minneapolis,MN,Regular season,MIN,SEA
Los Angeles Sparks,14050,2019,Dallas Wings,Staples Center,Los Angeles,CA,Regular season,LAS,DAL
Indiana Fever,6726,2019,Washington Mystics,Bankers Life Fieldhouse,Indianapolis,IN,Regular season,IND,WAS
Connecticut Sun,6733,2019,Atlanta Dream,Mohegan Sun Arena,Uncasville,CT,Regular season,CON,ATL
Seattle Storm,9000,2019,Las Vegas Aces,Alaska Airlines Arena,Seattle,WA,Regular season,SEA,LVA
New York Liberty,2195,2019,Los Angeles Sparks,Westchester County Center,White Plains,NY,Regular season,NYL,LAS
Dallas Wings,5471,2019,Phoenix Mercury,College Park Center,Arlington,TX,Regular season,DAL,PHO
Washington Mystics,4200,2019,Atlanta Dream,Entertainment and Sports Arena,Washington,DC,Regular season,WAS,ATL
Chicago Sky,6614,2019,Indiana Fever,Wintrust Arena,Chicago,IL,Regular season,CHI,IND
Las Vegas Aces,4352,2019,Minnesota Lynx,Mandalay Bay Events Center,Las Vegas,NV,Regular season,LVA,MIN
Atlanta Dream,7047,2019,Los Angeles Sparks,State Farm Arena,Atlanta,GA,Regular season,ATL,LAS
Phoenix Mercury,8528,2019,Indiana Fever,Talking Stick Resort Arena,Phoenix,AZ,Regular season,PHO,IND
Las Vegas Aces,5193,2019,Seattle Storm,Mandalay Bay Events Center,Las Vegas,NV,Regular season,LVA,SEA
Connecticut Sun,8249,2019,New York Liberty,Mohegan Sun Arena,Uncasville,CT,Regular season,CON,NYL
Minnesota Lynx,17934,2019,Washington Mystics,Target Center,Minneapolis,MN,Regular season,MIN,WAS
Team Wilson,9157,2019,Team Delle Donne,Mandalay Bay Events Center,Las Vegas,NV,All star,WIL,EDD
Connecticut Sun,6358,2019,Chicago Sky,Mohegan Sun Arena,Uncasville,CT,Regular season,CON,CHI
Washington Mystics,3819,2019,Phoenix Mercury,Entertainment and Sports Arena,Washington,DC,Regular season,WAS,PHO
Las Vegas Aces,3756,2019,Dallas Wings,Mandalay Bay Events Center,Las Vegas,NV,Regular season,LVA,DAL
Indiana Fever,5702,2019,Atlanta Dream,Bankers Life Fieldhouse,Indianapolis,IN,Regular season,IND,ATL
Connecticut Sun,6014,2019,Phoenix Mercury,Mohegan Sun Arena,Uncasville,CT,Regular season,CON,PHO
Dallas Wings,4011,2019,New York Liberty,College Park Center,Arlington,TX,Regular season,DAL,NYL
Los Angeles Sparks,11692,2019,Las Vegas Aces,Staples Center,Los Angeles,CA,Regular season,LAS,LVA
Seattle Storm,7488,2019,Washington Mystics,Angel of the Winds Arena,Everett,WA,Regular season,SEA,WAS
Indiana Fever,7884,2019,Minnesota Lynx,Bankers Life Fieldhouse,Indianapolis,IN,Regular season,IND,MIN
Atlanta Dream,5427,2019,Chicago Sky,State Farm Arena,Atlanta,GA,Regular season,ATL,CHI
Dallas Wings,5882,2019,Las Vegas Aces,College Park Center,Arlington,TX,Regular season,DAL,LVA
New York Liberty,1927,2019,Connecticut Sun,Westchester County Center,White Plains,NY,Regular season,NYL,CON
Los Angeles Sparks,12820,2019,Seattle Storm,Staples Center,Los Angeles,CA,Regular season,LAS,SEA
Phoenix Mercury,9025,2019,Washington Mystics,Talking Stick Resort Arena,Phoenix,AZ,Regular season,PHO,WAS
Las Vegas Aces,5024,2019,Washington Mystics,Mandalay Bay Events Center,Las Vegas,NV,Regular season,LVA,WAS
Atlanta Dream,3395,2019,Minnesota Lynx,State Farm Arena,Atlanta,GA,Regular season,ATL,MIN
Chicago Sky,5797,2019,New York Liberty,Wintrust Arena,Chicago,IL,Regular season,CHI,NYL
Washington Mystics,3013,2019,Indiana Fever,Entertainment and Sports Arena,Washington,DC,Regular season,WAS,IND
Los Angeles Sparks,10345,2019,Phoenix Mercury,Staples Center,Los Angeles,CA,Regular season,LAS,PHO
Seattle Storm,6268,2019,Dallas Wings,Angel of the Winds Arena,Everett,WA,Regular season,SEA,DAL
Minnesota Lynx,8892,2019,Connecticut Sun,Target Center,Minneapolis,MN,Regular season,MIN,CON
Las Vegas Aces,4200,2019,Chicago Sky,Mandalay Bay Events Center,Las Vegas,NV,Regular season,LVA,CHI
Indiana Fever,7923,2019,Atlanta Dream,Bankers Life Fieldhouse,Indianapolis,IN,Regular season,IND,ATL
Phoenix Mercury,9717,2019,Dallas Wings,Talking Stick Resort Arena,Phoenix,AZ,Regular season,PHO,DAL
Washington Mystics,4200,2019,Minnesota Lynx,Entertainment and Sports Arena,Washington,DC,Regular season,WAS,MIN
New York Liberty,7715,2019,Seattle Storm,Barclays Center,White Plains,NY,Regular season,NYL,SEA
Los Angeles Sparks,9244,2019,Chicago Sky,Staples Center,Los Angeles,CA,Regular season,LAS,CHI
Las Vegas Aces,4633,2019,Connecticut Sun,Mandalay Bay Events Center,Las Vegas,NV,Regular season,LVA,CON
New York Liberty,1570,2019,Minnesota Lynx,Westchester County Center,New York,NY,Regular season,NYL,MIN
Las Vegas Aces,3532,2019,Atlanta Dream,Mandalay Bay Events Center,Las Vegas,NV,Regular season,LVA,ATL
Washington Mystics,3917,2019,Seattle Storm,Entertainment and Sports Arena,Washington,DC,Regular season,WAS,SEA
Dallas Wings,5004,2019,Los Angeles Sparks,College Park Center,Arlington,TX,Regular season,DAL,LAS
Phoenix Mercury,8734,2019,Connecticut Sun,Talking Stick Resort Arena,Phoenix,AZ,Regular season,PHO,CON
Connecticut Sun,7092,2019,Seattle Storm,Mohegan Sun Arena,Uncasville,CT,Regular season,CON,SEA
Chicago Sky,7907,2019,Los Angeles Sparks,Wintrust Arena,Chicago,IL,Regular season,CHI,LAS
Dallas Wings,4070,2019,New York Liberty,College Park Center,Arlington,TX,Regular season,DAL,NYL
Minnesota Lynx,8803,2019,Washington Mystics,Target Center,Minneapolis,MN,Regular season,MIN,WAS
Phoenix Mercury,8480,2019,Atlanta Dream,Talking Stick Resort Arena,Phoenix,AZ,Regular season,PHO,ATL
Washington Mystics,4034,2019,Indiana Fever,Entertainment and Sports Arena,Washington,DC,Regular season,WAS,IND
Connecticut Sun,7275,2019,Dallas Wings,Mohegan Sun Arena,Uncasville,CT,Regular season,CON,DAL
Phoenix Mercury,9145,2019,New York Liberty,Talking Stick Resort Arena,Phoenix,AZ,Regular season,PHO,NYL
Chicago Sky,6072,2019,Las Vegas Aces,Wintrust Arena,Chicago,IL,Regular season,CHI,LVA
Seattle Storm,9000,2019,Minnesota Lynx,Alaska Airlines Arena,Seattle,WA,Regular season,SEA,MIN
Indiana Fever,5340,2019,New York Liberty,Bankers Life Fieldhouse,Indianapolis,IN,Regular season,IND,NYL
Atlanta Dream,4662,2019,Chicago Sky,State Farm Arena,Atlanta,GA,Regular season,ATL,CHI
Las Vegas Aces,5032,2019,Phoenix Mercury,Mandalay Bay Events Center,Las Vegas,NV,Regular season,LVA,PHO
Los Angeles Sparks,9244,2019,Minnesota Lynx,Staples Center,Los Angeles,CA,Regular season,LAS,MIN
Minnesota Lynx,8124,2019,Dallas Wings,Target Center,Minneapolis,MN,Regular season,MIN,DAL
Los Angeles Sparks,8816,2019,Indiana Fever,Staples Center,Los Angeles,CA,Regular season,LAS,IND
New York Liberty,1831,2019,Atlanta Dream,Westchester County Center,White Plains,NY,Regular season,NYL,ATL
Connecticut Sun,7483,2019,Las Vegas Aces,Mohegan Sun Arena,Uncasville,CT,Regular season,CON,LVA
Chicago Sky,6131,2019,Washington Mystics,Wintrust Arena,Chicago,IL,Regular season,CHI,WAS
Washington Mystics,4200,2019,New York Liberty,Entertainment and Sports Arena,Washington,DC,Regular season,WAS,NYL
Dallas Wings,4715,2019,Atlanta Dream,College Park Center,Arlington,TX,Regular season,DAL,ATL
Los Angeles Sparks,17076,2019,Connecticut Sun,Staples Center,Los Angeles,CA,Regular season,LAS,CON
Phoenix Mercury,12054,2019,Chicago Sky,Talking Stick Resort Arena,Phoenix,AZ,Regular season,PHO,CHI
Seattle Storm,8076,2019,Indiana Fever,Alaska Airlines Arena,Seattle,WA,Regular season,SEA,IND
Minnesota Lynx,8834,2019,Las Vegas Aces,Target Center,Minneapolis,MN,Regular season,MIN,LVA
Washington Mystics,4200,2019,Los Angeles Sparks,Entertainment and Sports Arena,Washington,DC,Regular season,WAS,LAS
New York Liberty,1693,2019,Phoenix Mercury,Westchester County Center,White Plains,NY,Regular season,NYL,PHO
Indiana Fever,6958,2019,Las Vegas Aces,Bankers Life Fieldhouse,Indianapolis,IN,Regular season,IND,LVA
Minnesota Lynx,8092,2019,Chicago Sky,Target Center,Minneapolis,MN,Regular season,MIN,CHI
Seattle Storm,6258,2019,Connecticut Sun,Alaska Airlines Arena,Seattle,WA,Regular season,SEA,CON
Indiana Fever,5641,2019,Los Angeles Sparks,Bankers Life Fieldhouse,Indianapolis,IN,Regular season,IND,LAS
Chicago Sky,5614,2019,Dallas Wings,Wintrust Arena,Chicago,IL,Regular season,CHI,DAL
Atlanta Dream,3727,2019,Phoenix Mercury,State Farm Arena,Atlanta,GA,Regular season,ATL,PHO
New York Liberty,1791,2019,Connecticut Sun,Westchester County Center,White Plains,NY,Regular season,NYL,CON
Dallas Wings,5205,2019,Washington Mystics,College Park Center,Arlington,TX,Regular season,DAL,WAS
Las Vegas Aces,8470,2019,Los Angeles Sparks,Mandalay Bay Events Center,Las Vegas,NV,Regular season,LVA,LAS
Chicago Sky,8845,2019,Phoenix Mercury,Wintrust Arena,Chicago,IL,Regular season,CHI,PHO
Minnesota Lynx,8833,2019,Indiana Fever,Target Center,Minneapolis,MN,Regular season,MIN,IND
Seattle Storm,9000,2019,Atlanta Dream,Alaska Airlines Arena,Seattle,WA,Regular season,SEA,ATL
New York Liberty,1558,2019,Washington Mystics,Westchester County Center,White Plains,NY,Regular season,NYL,WAS
Phoenix Mercury,8724,2019,Seattle Storm,Talking Stick Resort Arena,Phoenix,AZ,Regular season,PHO,SEA
Los Angeles Sparks,9889,2019,Atlanta Dream,Staples Center,Los Angeles,CA,Regular season,LAS,ATL
Connecticut Sun,6284,2019,Dallas Wings,Mohegan Sun Arena,Uncasville,CT,Regular season,CON,DAL
Atlanta Dream,4023,2019,Las Vegas Aces,State Farm Arena,Atlanta,GA,Regular season,ATL,LVA
Los Angeles Sparks,10591,2019,Seattle Storm,Staples Center,Los Angeles,CA,Regular season,LAS,SEA
Washington Mystics,3963,2019,Dallas Wings,Entertainment and Sports Arena,Washington,DC,Regular season,WAS,DAL
New York Liberty,2301,2019,Indiana Fever,Westchester County Center,White Plains,NY,Regular season,NYL,IND
Connecticut Sun,8077,2019,Chicago Sky,Mohegan Sun Arena,Uncasville,CT,Regular season,CON,CHI
Phoenix Mercury,12140,2019,Minnesota Lynx,Talking Stick Resort Arena,Phoenix,AZ,Regular season,PHO,MIN
Atlanta Dream,5495,2019,New York Liberty,State Farm Arena,Atlanta,GA,Regular season,ATL,NYL
Phoenix Mercury,13135,2019,Las Vegas Aces,Talking Stick Resort Arena,Phoenix,AZ,Regular season,PHO,LVA
Los Angeles Sparks,13500,2019,Minnesota Lynx,Staples Center,Los Angeles,CA,Regular season,LAS,MIN
Indiana Fever,5451,2019,Connecticut Sun,Bankers Life Fieldhouse,Indianapolis,IN,Regular season,IND,CON
Dallas Wings,5910,2019,Seattle Storm,College Park Center,Arlington,TX,Regular season,DAL,SEA
Washington Mystics,4200,2019,Chicago Sky,Entertainment and Sports Arena,Washington,DC,Regular season,WAS,CHI
Chicago Sky,6042,2019,Phoenix Mercury,Wintrust Arena,Chicago,IL,First Round,CHI,PHO
Seattle Storm,5011,2019,Minnesota Lynx,Angel of the Winds Arena,Everett,WA,First Round,SEA,MIN
Los Angeles Sparks,9081,2019,Seattle Storm,Staples Center,Los Angeles,CA,Second Round,LAS,SEA
Las Vegas Aces,7981,2019,Chicago Sky,Thomas & Mack Center,Las Vegas,NV,Second Round,LVA,CHI
Connecticut Sun,7102,2019,Los Angeles Sparks,Mohegan Sun Arena,Uncasville,CT,Semifinals,CON,LAS
Washington Mystics,3968,2019,Las Vegas Aces,Entertainment and Sports Arena,Washington,DC,Semifinals,WAS,LVA
Connecticut Sun,8051,2019,Los Angeles Sparks,Mohegan Sun Arena,Uncasville,CT,Semifinals,CON,LAS
Washington Mystics,4200,2019,Las Vegas Aces,Entertainment and Sports Arena,Washington,DC,Semifinals,WAS,LVA
Las Vegas Aces,6175,2019,Washington Mystics,Mandalay Bay Events Center,Las Vegas,NV,Semifinals,LVA,WAS
Los Angeles Sparks,4000,2019,Connecticut Sun,Walter Pyramid at Long Beach State,Long Beach,CA,Semifinals,LAS,CON
Las Vegas Aces,5465,2019,Washington Mystics,Mandalay Bay Events Center,Las Vegas,NV,Semifinals,LVA,WAS
Washington Mystics,4200,2019,Connecticut Sun,Entertainment and Sports Arena,Washington,DC,Finals,WAS,CON
Washington Mystics,4200,2019,Connecticut Sun,Entertainment and Sports Arena,Washington,DC,Finals,WAS,CON
Connecticut Sun,9170,2019,Washington Mystics,Mohegan Sun Arena,Uncasville,CT,Finals,CON,WAS
Connecticut Sun,8458,2019,Washington Mystics,Mohegan Sun Arena,Uncasville,CT,Finals,CON,WAS
Washington Mystics,4200,2019,Connecticut Sun,Entertainment and Sports Arena,Washington,DC,Finals,WAS,CON
New York Liberty,1139,2021,Indiana Fever,Barclays Center,Brooklyn,NY,Regular season,NYL,IND
Atlanta Dream,561,2021,Connecticut Sun,Gateway Center Arena,Atlanta,GA,Regular season,ATL,CON
Minnesota Lynx,2021,2021,Phoenix Mercury,Target Center,Minneapolis,MN,Regular season,MIN,PHO
Los Angeles Sparks,0,2021,Dallas Wings,Los Angeles Convention Center,Los Angeles,CA,Regular season,LAS,DAL
Washington Mystics,1050,2021,Chicago Sky,Entertainment and Sports Arena,Washington,DC,Regular season,WAS,CHI
Seattle Storm,1031,2021,Las Vegas Aces,Angel of the Winds Arena,Everett,WA,Regular season,SEA,LVA
Connecticut Sun,2042,2021,Phoenix Mercury,Mohegan Sun Arena,Uncasville,CT,Regular season,CON,PHO
New York Liberty,815,2021,Minnesota Lynx,Barclays Center,Brooklyn,NY,Regular season,NYL,MIN
Washington Mystics,1050,2021,Phoenix Mercury,Entertainment and Sports Arena,Washington,DC,Regular season,WAS,PHO
Seattle Storm,1001,2021,Las Vegas Aces,Angel of the Winds Arena,Everett,WA,Regular season,SEA,LVA
Atlanta Dream,689,2021,Chicago Sky,Gateway Center Arena,Atlanta,GA,Regular season,ATL,CHI
Connecticut Sun,2084,2021,Indiana Fever,Mohegan Sun Arena,Uncasville,CT,Regular season,CON,IND
Minnesota Lynx,1934,2021,Seattle Storm,Target Center,Minneapolis,MN,Regular season,MIN,SEA
Washington Mystics,1050,2021,New York Liberty,Entertainment and Sports Arena,Washington,DC,Regular season,WAS,NYL
Phoenix Mercury,4101,2021,Connecticut Sun,Phoenix Suns Arena,Phoenix,AZ,Regular season,PHO,CON
Las Vegas Aces,1972,2021,Los Angeles Sparks,Michelob ULTRA Arena,Las Vegas,NV,Regular season,LVA,LAS
Dallas Wings,1491,2021,Seattle Storm,College Park Center,Arlington,TX,Regular season,DAL,SEA
Chicago Sky,1332,2021,New York Liberty,Wintrust Arena,Chicago,IL,Regular season,CHI,NYL
Las Vegas Aces,1954,2021,Connecticut Sun,Michelob ULTRA Arena,Las Vegas,NV,Regular season,LVA,CON
New York Liberty,894,2021,Dallas Wings,Barclays Center,Brooklyn,NY,Regular season,NYL,DAL
Chicago Sky,1004,2021,Atlanta Dream,Wintrust Arena,Chicago,IL,Regular season,CHI,ATL
Seattle Storm,1011,2021,Connecticut Sun,Angel of the Winds Arena,Everett,WA,Regular season,SEA,CON
Phoenix Mercury,4082,2021,Las Vegas Aces,Phoenix Suns Arena,Phoenix,AZ,Regular season,PHO,LVA
Atlanta Dream,711,2021,Dallas Wings,Gateway Center Arena,Atlanta,GA,Regular season,ATL,DAL
Connecticut Sun,2102,2021,Washington Mystics,Mohegan Sun Arena,Uncasville,CT,Regular season,CON,WAS
Chicago Sky,1124,2021,Los Angeles Sparks,Wintrust Arena,Chicago,IL,Regular season,CHI,LAS
Seattle Storm,1332,2021,Minnesota Lynx,Angel of the Winds Arena,Everett,WA,Regular season,SEA,MIN
Las Vegas Aces,1975,2021,Indiana Fever,Michelob ULTRA Arena,Las Vegas,NV,Regular season,LVA,IND
New York Liberty,1235,2021,Atlanta Dream,Barclays Center,Brooklyn,NY,Regular season,NYL,ATL
Dallas Wings,1717,2021,Phoenix Mercury,College Park Center,Arlington,TX,Regular season,DAL,PHO
Chicago Sky,1124,2021,Los Angeles Sparks,Wintrust Arena,Chicago,IL,Regular season,CHI,LAS
Las Vegas Aces,1981,2021,Indiana Fever,Michelob ULTRA Arena,Las Vegas,NV,Regular season,LVA,IND
Minnesota Lynx,2007,2021,Connecticut Sun,Target Center,Minneapolis,MN,Regular season,MIN,CON
Connecticut Sun,2012,2021,Las Vegas Aces,Mohegan Sun Arena,Uncasville,CT,Regular season,CON,LVA
Dallas Wings,1372,2021,Los Angeles Sparks,College Park Center,Arlington,TX,Regular season,DAL,LAS
Chicago Sky,1217,2021,Phoenix Mercury,Wintrust Arena,Chicago,IL,Regular season,CHI,PHO
